event_title,organisation,date,location,match_nr,fighter1_name,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,referee,round,time
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",13,Ciryl Gane,Derrick Lewis,win,loss,TKO,Punches, Dan Miragliotta,3, 4:11
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",12,Jose Aldo,Pedro Munhoz,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",11,Vicente Luque,Michael Chiesa,win,loss,Submission,Brabo Choke,Kerry Hatley,1,03:25
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",10,Tecia Torres,Angela Hill,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",9,Yadong Song,Casey Kenney,win,loss,Decision,Split,Dan Miragliotta,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",8,Rafael Fiziev,Bobby Green,win,loss,Decision,Unanimous,Jacob Montalvo,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",7,Vince Morales,Drako Rodriguez,win,loss,Decision,Unanimous,Jeff Rexroad,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",6,Alonzo Menifield,Ed Herman,win,loss,Decision,Unanimous,Kerry Hatley,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",5,Jessica Penne,Karolina Kowalkiewicz,win,loss,Submission,Armbar,Mike Beltran,1,04:32
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",4,Manel Kape,Ode Osbourne,win,loss,KO,Flying Knee and Punches,Jeff Rexroad,1,04:44
