fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other,height(cm),weight(kg),win_percentage,bmi,submission_ratio,ko_ratio,decision_ratio
Kharun Atlangeriev,Predator,1992-10-05,28.0,,,Russia,5.1,155,Ofs Team,Lightweight,11,5,5,1,0,2,0,1,1,0,155.44799999999998,70.30676,84.62,29.1,0.45,0.45,0.09
Shojin Miki,Mini Margarito,,,,"Honolulu, Hawaii",United States,5.9,125,Hmc Academy,Flyweight,6,2,4,0,0,7,2,0,5,0,179.83200000000002,56.699,46.15,17.53,0.67,0.33,0.0
Ryan Keenan,Who Dat?,1985-06-15,36.0,,"Windermere, Florida",United States,6.0,155,Gracie Orlando,Lightweight,6,3,3,0,0,2,1,1,0,0,182.88,70.30676,75.0,21.02,0.5,0.5,0.0
Dustin Jacoby,The Hanyak,1988-04-04,33.0,,"Arenzville, Illinois",United States,6.4,205,Factory X,Light Heavyweight,14,9,1,4,0,5,1,2,2,0,195.072,92.98636,73.68,24.44,0.07,0.64,0.29
Richardson Moreira,Rick Monstro,1984-03-31,37.0,,"Campinas, Sao Paulo",Brazil,6.2,205,Team Nogueira,Light Heavyweight,8,2,5,1,0,5,1,1,3,0,188.976,92.98636,61.54,26.04,0.62,0.25,0.12
Chris Haseman,The Hammer,1969-06-02,52.0,,,Australia,5.11,198,Rings Australia,Light Heavyweight,20,2,14,3,1,18,8,3,6,1,155.7528,89.811216,52.63,37.02,0.7,0.1,0.15
Fares Ziam,Smile Killer,1997-03-21,24.0,,Lyon,France,6.0,155,Team Ezbiri,Lightweight,12,5,4,3,0,3,0,2,1,0,182.88,70.30676,80.0,21.02,0.33,0.42,0.25
James Bochnovic,,1989-02-13,32.0,,"Kenosha, Wisconsin",United States,6.4,185,Rothwell Mma,Middleweight,10,1,9,0,0,5,2,2,1,0,195.072,83.91452,66.67,22.05,0.9,0.1,0.0
Adrian Pang,The Hunter,1977-09-02,43.0,,"Kokopo, East New Britain",Papua New Guinea,5.7,155,Integrated Mma,Lightweight,23,6,10,7,0,13,3,1,9,0,173.73600000000002,70.30676,63.89,23.29,0.43,0.26,0.3
Haobin Ma,The Southern Eagle,1994-01-23,27.0,,,China,0.0,125,Jincan Defense Club,Flyweight,13,3,5,5,0,8,2,1,5,0,0.0,56.699,61.9,inf,0.38,0.23,0.38
Lance Everson,,,,,"Mansfield, Massachusetts",United States,5.9,185,Boneyard,Middleweight,11,6,1,4,0,9,2,6,1,0,179.83200000000002,83.91452,55.0,25.95,0.09,0.55,0.36
Journey Newson,,1989-03-07,32.0,,"Beaverton, Oregon",United States,5.5,135,Impact Jiu Jitsu,Bantamweight,9,3,3,3,0,3,2,0,1,0,167.64000000000001,61.23492,75.0,21.79,0.33,0.33,0.33
Christian Wellisch,,,,,"Los Angeles, California",United States,6.2,234,American Kickboxing Academy,Heavyweight,8,4,3,1,0,5,3,1,1,0,188.976,106.140528,61.54,29.72,0.38,0.5,0.12
Ryuichiro Sumimura,,1986-02-14,35.0,,"Kobe, Hyogo",Japan,5.11,170,Independent,Welterweight,18,4,5,9,0,7,1,1,5,0,155.7528,77.11064,72.0,31.79,0.28,0.22,0.5
Michael Chiesa,Maverick,1987-12-07,33.0,,"Spokane, Washington",United States,6.1,170,Sikjitsu,Welterweight,18,0,11,7,0,5,1,4,0,0,185.928,77.11064,78.26,22.31,0.61,0.0,0.39
Klidson Abreu,White Bear,1992-12-24,28.0,,"Manaus, Amazonas",Brazil,6.2,205,Evolucao Thai,Light Heavyweight,15,4,10,1,0,5,3,0,2,0,188.976,92.98636,75.0,26.04,0.67,0.27,0.07
John Kolosci,,1974-11-26,46.0,,"Portage, Indiana",United States,5.11,155,Gilbert Grappling,Lightweight,15,3,5,7,0,9,2,5,2,0,155.7528,70.30676,62.5,28.98,0.33,0.2,0.47
Giorgio Pietrini,,1991-06-23,30.0,,Livorno,Italy,6.0,170,Rendoki Dojo,Welterweight,16,8,4,4,0,5,0,2,3,0,182.88,77.11064,76.19,23.06,0.25,0.5,0.25
Sidemar Honorio,Sideco Honor,1980-05-05,41.0,,"Rio De Janeiro, Rio De Janeiro",Brazil,5.7,126,Renzo Gracie Philly,Flyweight,13,3,3,7,0,7,1,1,5,0,173.73600000000002,57.152592,65.0,18.93,0.23,0.23,0.54
Sultan Umar,,1986-02-08,35.0,,"Chicago, Illinois",United States,6.1,170,Midwest Training Center,Welterweight,6,4,0,2,0,2,1,0,1,0,185.928,77.11064,75.0,22.31,0.0,0.67,0.33
Xavier Siller,Young Guns,1994-06-06,27.0,,"Abilene, Texas",United States,5.5,125,None,Flyweight,7,2,3,1,1,7,3,3,0,1,167.64000000000001,56.699,50.0,20.18,0.43,0.29,0.14
Allen Chong,Solomon,1982-05-30,39.0,,"Kota Kinabalu, Sabah",Malaysia,5.6,155,Borneo Tribal Squad,Lightweight,3,1,1,1,0,5,4,1,0,0,170.688,70.30676,37.5,24.13,0.33,0.33,0.33
Michael Mcbride,,,,,"Webster City, Iowa",United States,6.1,155,None,Lightweight,8,0,8,0,0,3,1,0,2,0,185.928,70.30676,72.73,20.34,1.0,0.0,0.0
Iuri Lapicus,,1995-10-22,25.0,,Gura Bicului,Moldova,5.11,170,Team Petrosyan,Welterweight,14,4,10,0,0,1,1,0,0,0,155.7528,77.11064,93.33,31.79,0.71,0.29,0.0
Andrea Fusi,Il Barbaro,1991-12-16,29.0,,Como,Italy,5.1,170,Clan Mano Di Pietra,Welterweight,8,3,2,3,0,6,1,2,3,0,155.44799999999998,77.11064,57.14,31.91,0.25,0.38,0.38
Craig Fairley,Showtime,1992-03-25,29.0,,"Lincoln, Nebraska",United States,0.0,155,Laselva Mma,Lightweight,3,0,3,0,0,5,4,1,0,0,0.0,70.30676,37.5,inf,1.0,0.0,0.0
